292,196
293,186
293,176
293,166
296,157
306,153
316,150
326,147
337,146
347,146
357,148
367,151
377,157
387,164
396,173
404,183
409,193
413,203
415,213
416,223
416,233
414,243
411,253
406,263
399,273
390,282
380,289
370,292
360,293
350,293
340,290
330,286
324,286
324,296
324,306
324,316
324,326
324,336
324,346
333,347
343,347
353,347
363,347
373,347
383,347
393,347
403,349
403,359
403,369
400,377
390,377
380,377
370,377
360,377
350,377
340,377
330,377
320,377
310,377
300,377
293,374
293,364
293,354
293,344
293,334
293,324
293,314
293,304
293,294
293,284
293,274
293,264
294,254
304,254
314,254
324,256
334,261
344,263
354,262
364,259
374,251
379,241
382,231
383,221
381,211
377,201
370,191
360,183
350,178
340,176
330,177
320,180
310,185
300,191
