106.64,240.13
88.247,314.01
97.883,420.03
136.14,502.37
206.8,570.04
290.31,606.14
382.29,610.65
469.02,595.42
526.54,614.6
531.51,661.41
490.33,659.15
412.95,676.07
345.5,703.14
315.72,720.62
299.95,744.87
338.49,744.87
447.99,761.79
543.77,742.05
572.68,727.95
591.66,738.67
561.58,782.09
528.59,835.67
502.31,920.26
504.93,979.48
538.51,955.79
579.4,921.96
648.6,849.2
670.79,757.84
719.85,743.74
762.77,708.78
793.14,662.53
824.97,624.75
824.09,612.9
815.04,597.68
812.71,581.89
795.19,562.71
759.85,544.1
743.79,514.78
748.76,487.14
747.88,438.64
717.8,373.22
679.55,330.92
636.92,297.09
635.75,249.15
631.66,209.11
629.62,180.91
655.32,174.14
672.84,158.35
675.46,135.79
648.89,122.82
610.06,121.7
586.11,127.9
563.92,159.48
546.69,207.98
540.85,235.05
505.23,217.57
465.81,204.6
431.35,196.14
490.92,187.68
535.3,175.27
558.08,157.22
563.34,138.05
555.45,125.08
523.62,125.08
426.97,125.64
316.59,119.44
265.49,131.85
216.73,146.51
174.97,125.64
118.91,126.21
81.239,148.77
61.675,195.57
80.363,226.59
